date_time	ST	wind_burst
1990.40	-0.15	-10.53
1990.48	-0.15	-5.51
1990.56	-0.15	-5.32
1990.64	-0.16	-9.07
1990.72	-0.16	-7.30
1990.80	-0.16	-7.87
1990.88	-0.17	3.39
1990.96	-0.17	-1.51
1991.08	-0.17	-7.44
1991.16	-0.16	5.47
1991.24	-0.17	-8.11
1991.32	-0.18	-7.34
1991.40	-0.17	-11.05
1991.48	-0.16	-2.16
1991.56	-0.15	1.44
1991.64	-0.15	2.87
1991.72	-0.16	1.31
1991.80	-0.17	2.11
1991.88	-0.17	5.23
1991.96	-0.19	10.12
1992.08	-0.21	1.26
1992.16	-0.23	4.01
1992.24	-0.26	-5.99
1992.32	-0.29	5.77
1992.40	-0.31	5.53
1992.48	-0.34	-3.98
1992.56	-0.37	-0.43
1992.64	-0.38	-2.47
1992.72	-0.35	3.90
1992.80	-0.32	2.16
1992.88	-0.30	3.49
1992.96	-0.26	7.70
1993.08	-0.23	-0.50
1993.16	-0.19	13.32
1993.24	-0.15	5.42
1993.32	-0.11	0.53
1993.40	-0.08	-0.93
1993.48	-0.08	-0.73
1993.56	-0.06	-2.85
1993.64	-0.02	-0.08
1993.72	-0.00	-3.46
1993.80	-0.00	0.97
1993.88	0.01	-4.70
1993.96	0.02	-9.13
1994.08	0.02	0.30
1994.16	0.01	8.57
1994.24	-0.00	-4.58
1994.32	-0.01	2.87
1994.40	-0.02	-3.41
1994.48	-0.03	3.12
1994.56	-0.03	5.02
1994.64	-0.04	5.18
1994.72	-0.03	8.71
1994.80	-0.03	9.07
1994.88	-0.03	9.12
1994.96	-0.04	3.35
1995.08	-0.05	3.14
1995.16	-0.06	17.31
1995.24	-0.07	7.89
1995.32	-0.08	3.07
1995.40	-0.09	-0.78
1995.48	-0.10	-8.08
1995.56	-0.11	-4.08
1995.64	-0.14	-15.75
1995.72	-0.17	-6.58
1995.80	-0.19	-9.08
1995.88	-0.20	2.11
1995.96	-0.23	-1.30
1996.08	-0.25	1.73
1996.16	-0.26	9.37
1996.24	-0.26	2.48
1996.32	-0.29	-1.87
1996.40	-0.31	0.54
1996.48	-0.32	-3.33
1996.56	-0.34	-0.24
1996.64	-0.36	0.07
1996.72	-0.37	1.51
1996.80	-0.39	1.42
1996.88	-0.39	8.16
1996.96	-0.39	15.22
1997.08	-0.39	13.32
1997.16	-0.38	0.31
1997.24	-0.35	19.40
1997.32	-0.36	11.29
1997.40	-0.36	16.93
1997.48	-0.34	9.44
1997.56	-0.29	9.33
1997.64	-0.29	26.15
1997.72	-0.31	22.21
1997.80	-0.30	18.55
1997.88	-0.30	9.57
1997.96	-0.24	6.53
1998.08	-0.26	7.28
1998.16	-0.26	-5.30
1998.24	-0.29	7.12
1998.32	-0.31	-6.84
1998.40	-0.33	-2.53
1998.48	-0.33	-1.21
1998.56	-0.33	-8.51
1998.64	-0.33	-3.93
1998.72	-0.32	-8.25
1998.80	-0.30	-7.89
1998.88	-0.29	-7.59
1998.96	-0.28	-7.67
1999.08	-0.27	-13.21
1999.16	-0.27	-8.25
1999.24	-0.26	-10.62
1999.32	-0.24	-12.76
1999.40	-0.21	-4.80
1999.48	-0.19	-4.01
1999.56	-0.17	-6.47
1999.64	-0.15	-8.65
1999.72	-0.13	-6.32
1999.80	-0.11	-13.47
1999.88	-0.10	0.73
1999.96	-0.09	-0.21
2000.08	-0.09	4.45
2000.16	-0.11	-6.16
2000.24	-0.12	-11.27
2000.32	-0.12	-8.38
2000.40	-0.12	-0.53
2000.48	-0.12	-4.27
2000.56	-0.10	3.52
2000.64	-0.09	-7.29
2000.72	-0.09	-4.37
2000.80	-0.08	-5.34
2000.88	-0.06	-10.67
2000.96	-0.06	-5.06
2001.08	-0.06	-16.68
2001.16	-0.06	-6.57
2001.24	-0.05	-6.71
2001.32	-0.05	-5.65
2001.40	-0.04	-0.26
2001.48	-0.02	2.97
2001.56	-0.01	-3.56
2001.64	-0.00	-2.62
2001.72	0.01	-10.38
2001.80	0.01	-7.06
2001.88	0.01	-5.38
2001.96	0.01	-2.22
2002.08	0.03	-3.13
2002.16	0.03	-1.97
2002.24	0.03	-3.80
2002.32	0.03	7.89
2002.40	0.03	2.57
2002.48	0.02	-8.28
2002.56	0.02	8.23
2002.64	0.02	6.16
2002.72	0.01	6.49
2002.80	-0.01	7.93
2002.88	-0.01	-0.87
2002.96	-0.03	1.63
2003.08	-0.04	15.67
2003.16	-0.05	0.78
2003.24	-0.05	-3.08
2003.32	-0.05	-1.57
2003.40	-0.05	-3.01
2003.48	-0.05	-2.48
2003.56	-0.04	-7.20
2003.64	-0.06	-3.76
2003.72	-0.08	-2.40
2003.80	-0.08	-4.60
2003.88	-0.09	1.15
2003.96	-0.08	2.56
2004.08	-0.09	8.09
2004.16	-0.09	0.03
2004.24	-0.09	4.87
2004.32	-0.11	-1.85
2004.40	-0.11	0.82
2004.48	-0.11	12.50
2004.56	-0.11	3.60
2004.64	-0.12	12.58
2004.72	-0.13	-1.72
2004.80	-0.13	7.39
2004.88	-0.14	7.70
2004.96	-0.15	17.30
2005.08	-0.16	12.82
2005.16	-0.15	12.74
2005.24	-0.16	-3.46
2005.32	-0.17	-0.31
2005.40	-0.18	3.25
2005.48	-0.18	-6.45
2005.56	-0.18	-3.83
2005.64	-0.18	4.68
2005.72	-0.18	7.93
2005.80	-0.18	-6.52
2005.88	-0.18	2.80
2005.96	-0.17	-8.05
2006.08	-0.16	-9.68
